SAMPLE_ID,LATITUDE,LONGITUDE
DCO_BRZ--CRO_QV1_2B_Aug13,38.86202,-122.43006
DCO_BRZ--CRO_QV1_2B_Jul14,38.86202,-122.43006
DCO_BRZ--CRO_QV1_2C_Aug13,38.86202,-122.43006
DCO_BRZ--CSWold_A_Aug13,38.86193,-122.414
DCO_BRZ--CSWold_A_Dec13,38.86193,-122.414
DCO_BRZ--N08A_A_Dec13,38.862,-122.43
DCO_BRZ--N08A_B_Aug13,38.862,-122.43
DCO_BRZ--N08Aa_Aug12,38.862,-122.43
DCO_BRZ--N08B_A_Aug13,38.86201,-122.43
DCO_BRZ--N08B_A_Dec13,38.86201,-122.43
DCO_BRZ--N08B_July11,38.86201,-122.43
DCO_BRZ--N08Ba_Aug12,38.86201,-122.43
DCO_BRZ--N08Bb_Aug12,38.86201,-122.43
DCO_BRZ--N08Bc_Aug12,38.86201,-122.43
DCO_BRZ--N08C_A_Aug13,38.86202,-122.43
DCO_BRZ--N08C_A_Dec13,38.86202,-122.43
DCO_BRZ--N1A_Aug12,38.882,-122.478
DCO_BRZ--N5A_Aug12,38.871,-122.428
DCO_BRZ--Serp_CRO_8A_Apr11,38.862,-122.43
DCO_BRZ--Serp_CRO_8A_Aug11,38.862,-122.43
DCO_BRZ--Serp_CRO_8B_AprC11,38.86201,-122.43
DCO_BRZ--Serp_CRO_8B_AprD11,38.86201,-122.43
DCO_BRZ--Serp_CRO_CSW1_1A_Mar13,38.862,-122.414
DCO_BRZ--Serp_CRO_CSW1_2A_Mar13,38.862,-122.414
DCO_BRZ--Serp_CRO_CSW1_3B_Mar13,38.862,-122.414
DCO_BRZ--Serp_CRO_CSW1_4A_Mar13,38.862,-122.414
DCO_BRZ--Serp_CRO_CSW1_5A_Mar13,38.862,-122.414
DCO_BRZ--Serp_CRO_CSWoldA_Mar13,38.86193,-122.414
DCO_BRZ--Serp_CRO_CSWoldB_Mar13,38.86193,-122.414
DCO_BRZ--Serp_CRO_CSWoldT0_Mar13,38.86193,-122.414
DCO_BRZ--Serp_CRO_N08AB_Mar13,38.862,-122.43
DCO_BRZ--Serp_CRO_N08A_Aug11,38.862,-122.43
DCO_BRZ--Serp_CRO_N08BA_Mar13,38.86201,-122.43
DCO_BRZ--Serp_CRO_N08BB_Mar13,38.86201,-122.43
DCO_BRZ--Serp_CRO_N08CA_Mar13,38.86202,-122.43
DCO_BRZ--Serp_CRO_N08T0_Mar13,38.862,-122.43
DCO_BRZ--Serp_CRO_QV13A_Aug12,38.862,-122.43006
DCO_BRZ--Serp_CRO_QV1_1A_Mar13,38.862,-122.43006
DCO_BRZ--Serp_CRO_QV1_2B_Mar13,38.862,-122.43006
DCO_BRZ--Serp_CRO_QV1_3B_Mar13,38.862,-122.43006
DCO_BRZ--Serp_LC1408,30.123203,-42.118972
DCO_BRZ--Serp_LC3862_1325,30.123203,-42.118972
DCO_BRZ--Serp_LC_BB10,30.123357,-42.1206
DCO_BRZ--Serp_LC_BB12,30.123871,-42.120517
DCO_BRZ--Serp_LC_BB13,30.123934,-42.120154
DCO_BRZ--Serp_LC_BB14,30.124259,-42.118724
DCO_BRZ--Serp_LC_BB15,30.124286,-42.119138
DCO_BRZ--Serp_LC_BB16,30.124286,-42.119138
DCO_BRZ--Serp_LC_BB17,30.124178,-42.119698
DCO_BRZ--Serp_LC_BB20,30.123934,-42.120154
DCO_BRZ--Serp_LC_BB21,30.123934,-42.120154
DCO_BRZ--Serp_LC_BB22,30.123934,-42.120154
DCO_BRZ--Serp_LC_BB25,30.123934,-42.120154
DCO_BRZ--Serp_LC_BB31,30.12397,-42.120113
DCO_BRZ--Serp_LC_BB32,30.123492,-42.118506
DCO_BRZ--Serp_LC_BB33,30.123492,-42.120538
DCO_BRZ--Serp_LC_BB35,30.124755,-42.119024
DCO_BRZ--Serp_LC_BB36,30.123961,-42.119688
DCO_BRZ--Serp_LC_BB37,30.124782,-42.11863
DCO_BRZ--Serp_LC_BB4,30.124069,-42.120019
DCO_BRZ--Serp_LC_BB41,30.123492,-42.118506
DCO_BRZ--Serp_LC_BB49,30.123465,-42.120082
DCO_BRZ--Serp_LC_BB6,30.123889,-42.120061
DCO_BRZ--Serp_LC_BB8,30.123997,-42.118962
DCO_BRZ--Serp_LC_BB9,30.125314,-42.118869
DCO_BRZ--Serp_LIG_BR2_back1_Jun12,44.4512,8.782
DCO_BRZ--Serp_LIG_BR2_back2_Jun12,44.4512,8.782
DCO_BRZ--Serp_LIG_Gor_upA_Jul12,44.597,8.7833
DCO_BRZ--Serp_LIG_Gor_upB_Jul12,44.597,8.7833
DCO_BRZ--Serp_LIG_L43_upstream_Oct11,44.4584,8.7688
DCO_BRZ--Serp_LIG_LER20_LS11_127_Oct11,44.4214,8.6564
DCO_BRZ--Serp_Lig_GOR1AB_2013,44.597,8.7833
DCO_BRZ--Serp_Lig_GOR1CDEF_2013,44.597,8.7833
DCO_BRZ--Serp_Lig_GORupA_2013,44.597,8.7833
DCO_BRZ--Serp_Lig_GORupB_2013,44.597,8.7833
DCO_CMT--Challenger_Middle_Pond_ThreeMicron,11.36902,142.43
DCO_CMT--Challenger_Middle_Pond_ZeroPointOneMicron,11.37,142.43
DCO_CMT--Challenger_Middle_Pond_ZeroPointTwoMicron,11.37,142.43
DCO_CMT--Challenger_West_Pond_ThreeMicron,11.34,142.2
DCO_CMT--Challenger_West_Pond_ZeroPointOneMicron,11.34,142.2
DCO_CMT--Challenger_West_Pond_ZeroPointTwoMicron,11.34,142.2
DCO_CMT--Sirena_Deep_ThreeMicron,12.04,144.35
DCO_CMT--Sirena_Deep_ZeroPointOneMicron,12.04,144.35
DCO_CMT--Sirena_Deep_ZeroPointTwoMicron,12.04,144.35
DCO_CMT--Ulithi_ThreeMicron,10.01,139.75
DCO_CMT--Ulithi_ZeroPointOneMicron,10.01,139.75
DCO_CMT--Ulithi_ZeroPointTwoMicron,10.01,139.75
DCO_GAI--S1,64.49,-17.51
DCO_GAI--S2,64.49,-17.51
DCO_GAI--S3,64.49,-17.51
DCO_GAI--S4,64.88,-17.50915
DCO_GAI--S5,64.88,-17.50915
DCO_GAI--S6,64.88,-17.50915
DCO_GAI--S7,64.88,-17.50915
DCO_GAI--Sk_hlaup,64.26,-18.14
DCO_GMSB--P10_2,27.3,-111.42
DCO_GMSB--P10_4,27.3,-111.42
DCO_GMSB--P11_2,27.3,-111.4
DCO_GMSB--P11_5,27.3,-111.4
DCO_GMSB--P12_4,27.52,-111.41
DCO_GMSB--P13_4,27.12,-111.13
DCO_GMSB--P3_4,27.37,-111.52
DCO_GMSB--P4_3,27.38,-111.53
DCO_GMSB--P6_3,27.38,-111.36
DCO_GMSB--P6_4,27.38,-111.36
DCO_HIN--BS_15105_2_147_167,41.526,32.63
DCO_HIN--BS_15105_2_390_405,41.526,32.63
DCO_HIN--BS_15105_2_420_435,41.526,32.63
DCO_HIN--DB_15102_1_23_43,35.274,21.692
DCO_HIN--EM_15103_2_21_34,33.028,32.63
DCO_HIN--EM_15103_2_220_240,33.028,32.63
DCO_HIN--EM_15103_2_435_455,33.028,32.63
DCO_KLA--Cetus_summit_220,37.88012,17.46227
DCO_KLA--Cetus_summit_40,37.88012,17.46227
DCO_KLA--Venere_flow_150_m_from_summit_5,38.60658,17.18934
DCO_KLA--Venere_flow_150_m_from_summit_60,38.60655,17.18913
DCO_KLA--Venere_flow_80_m_from_summit_2,38.6075,17.18804
DCO_KLA--Venere_flow_80_m_from_summit_267,38.60747,17.18803
DCO_KLA--Venere_flow_80_m_from_summit_48,38.60747,17.18803
DCO_KLA--Venere_summit_2,38.60757,17.18708
DCO_KLA--Venere_summit_470,38.60758,17.18705
DCO_KLA--Venere_summit_88,38.60758,17.18705
DCO_LAV--Wallulua_2009_213,46.105324,-118.916359
DCO_LAV--Wallulua_2009_220,46.105324,-118.916359
DCO_LAV--Wallulua_2009_31,46.105324,-118.916359
DCO_LAV--Wallulua_2009_39,46.105324,-118.916359
DCO_LAV--Wallulua_2009_413,46.105324,-118.916359
DCO_LAV--Wallulua_2011_34,46.1,-118.916359
DCO_LAZ--PC1A,9.078,87.096
DCO_LAZ--PC1A_2,9.078,87.096
DCO_LAZ--PC2A,9.081,87.094
DCO_LAZ--PC2B,9.081,87.093
DCO_LAZ--PC2C,9.081,87.093
DCO_LAZ--PC2D,9.077,87.091
DCO_LAZ--PC3A,9.089,87.1
DCO_LAZ--PC3A_2,9.089,87.1
DCO_LAZ--PC3B,9.089,87.1
DCO_LAZ--PC3B_2,9.089,87.1
DCO_LAZ--PC3C,9.089,87.1
DCO_LAZ--PC3C_2,9.089,87.1
DCO_LAZ--PC4A,9.086,87.1
DCO_LAZ--PC4B,9.086,87.1
DCO_LIN--TWNCO2_1518m,24.093,120.389
DCO_LIN--TWNCO2_1520m,24.093,120.389
DCO_LIN--TWNCO2_1564m,24.093,120.389
DCO_LIN--TWNCO2_1614m,24.093,120.389
DCO_LIN--TWNCO2_1675m,24.093,120.389
DCO_LIN--TWNCO2_1733m,24.093,120.389
DCO_LIN--TWNCO2_1788m,24.093,120.389
DCO_LIN--TWNCO2_1814m,24.093,120.389
DCO_LIN--TWNCO2_1909m,24.093,120.389
DCO_LIN--TWNCO2_1956m,24.093,120.389
DCO_LIN--TWNCO2_2003m,24.093,120.389
DCO_LIN--TWNCO2_2056m,24.093,120.389
DCO_LIN--TWNCO2_2108m,24.093,120.389
DCO_LIN--TWNCO2_2172m,24.093,120.389
DCO_LIN--TWNCO2_2224m,24.093,120.389
DCO_LIN--TWNCO2_2273m,24.093,120.389
DCO_LIN--TWNCO2_2325m,24.093,120.389
DCO_LIN--TWNCO2_2397m,24.093,120.389
DCO_LIN--TWNCO2_2419m,24.093,120.389
DCO_LIN--TWNCO2_2465m,24.093,120.389
DCO_LIN--TWNCO2_2496m,24.093,120.389
DCO_LIN--TWNCO2_2547m,24.093,120.389
DCO_LIN--TWNCO2_2616m,24.093,120.389
DCO_LIN--TWNCO2_2659m,24.093,120.389
DCO_LOIH--J2_672_BM1_B12345,18.906,-155.257
DCO_LOIH--J672black,18.906,-155.257
DCO_LOIH--J672yellow,18.906,-155.257
DCO_LOIH--J674black,18.906,-155.257
DCO_LOIH--J675yellow,18.906,-155.257
DCO_LOIH--J676black,18.906,-155.257
DCO_LOIH--J676red,18.906,-155.257
DCO_MAC--LD09_2_3,43.403,12.976
DCO_MAC--LI09_3,43.403,12.976
DCO_MAC--LI09_4,43.403,12.976
DCO_MAC--LI09_5,43.403,12.976
DCO_MAC--LI13_2,43.403,12.976
DCO_MAC--LO13_2,43.403,12.976
DCO_MAC--LO13_8,43.403,12.976
DCO_MAC--LV13_5,43.403,12.976
DCO_MOS--BLM_1A,36.40116667,-116.468
DCO_MOS--BLM_1B,36.40116667,-116.468
DCO_MOS--Bilby_DNA2_280312,37.06,-116.02
DCO_MOS--ER_EC_11,37.2,-116.48
DCO_MOS--KC_1_12_10_SW2,48.2748,-81.1438
DCO_MOS--KC_7850_SWA,48.2748,-81.1438
DCO_MOS--KC_L7850_B_MF,48.2748,-81.1438
DCO_MOS--Nevares_DW2B,36.5073,-116.81967
DCO_MOS--U12N_10_tunnel,37.21,-116.21
DCO_ONS--A_BE326FW010813_cap,-28.24,26.796
DCO_ONS--A_BE326FW080813_cap,-28.24,26.796
DCO_ONS--A_BE326FW150813MF,-28.24,26.796
DCO_ONS--A_BE326FW150813_cap,-28.24,26.796
DCO_ONS--A_BE326FW250111,-28.24,26.796
DCO_ONS--A_BE326FW270712,-28.24,26.796
DCO_ONS--A_DR5IPC280513,-26.42,27.504
DCO_ONS--A_DR5IPC280711,-26.42,27.504
DCO_ONS--B_BE326FW010813_cap,-28.24,26.796
DCO_ONS--B_BE326FW010813_cap_2,-28.24,26.796
DCO_ONS--B_BE326FW080813_cap,-28.24,26.796
DCO_ONS--B_BE326FW080813_cap_2,-28.24,26.796
DCO_ONS--B_BE326FW150813_MF,-28.24,26.796
DCO_ONS--B_BE326FW150813_MF_2,-28.24,26.796
DCO_ONS--B_BE326FW150813_cap,-28.24,26.796
DCO_ONS--B_BE326FW150813_cap_2,-28.24,26.796
DCO_ONS--B_BE326FW250111,-28.24,26.796
DCO_ONS--B_BE326FW270712,-28.24,26.796
DCO_ONS--B_DR5IPC280513,-26.42,27.504
DCO_ONS--B_DR5IPC280711,-26.42,27.504
DCO_ORC--IODP_X336_U1382B_10H4,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_1H3,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_2H2,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_2H4,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_4H4,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_7H6,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_8H6,22.75547,-46.08125
DCO_ORC--IODP_X336_U1383C_11R,22.80221,-46.05259
DCO_ORC--IODP_X336_U1383C_24R,22.80221,-46.05259
DCO_ORC--IODP_X336_U1383C_30R,22.80221,-46.05259
DCO_ORC--JdF16R2,47.76103,-127.7612
DCO_ORC--JdF21R1A,47.76103,-127.7612
DCO_ORC--JdF21R1B,47.76103,-127.7612
DCO_ORC--JdF4H2,47.28877,-128.03562
DCO_ORC--JdF4HCC,47.28877,-128.03562
DCO_ORC--JdF5X1,47.289197,-128.0351
DCO_ORC--JdF8X2,47.289197,-128.0351
DCO_ORC--JdF8X5,47.289197,-128.0351
DCO_ORC--JdFback,47.292873,-128.029332
DCO_ORC--NP13501,22.78,-46.11
DCO_ORC--NP13504,22.83,-46.05
DCO_ORC--Orc4H1,47.28877,-128.03562
DCO_ORC--Orc4H3_upper,47.28877,-128.03562
DCO_RAM--MSM16_2_809_1_MUC,72.003,14.732
DCO_RAM--MSM16_2_823_1_MUC,72.003,14.732
DCO_RAM--MSM16_2_838_1_MUC,72.005,14.726
DCO_RAM--MSM16_2_847_1_MUC,72.004,14.727
DCO_RAM--MSM16_2_855_1_MUC,72.004,14.73
DCO_RAM--PS64_312_1_MUC,72.004,14.725
DCO_RAM--PS64_317_PUC_17,72.003,14.731
DCO_RAM--PS64_326_PUC_12,72.001,14.719
DCO_RAM--PS64_332_1_GC,72.005,14.726
DCO_RAM--PS64_336_1_GC,72.0,14.726
DCO_RAM--PS64_372_1_GC,72.004,14.727
DCO_RAM--PS64_373_1_GC,72.003,14.728
DCO_RAM--PS74_2_168_1_MUC,72.005,14.724
DCO_RAM--PS74_2_169_1_PUC3,72.005,14.726
DCO_RAM--PS74_2_172_1_PUC131,72.005,14.726
DCO_RUS--O_12,38.7,-75.16
DCO_RUS--O_3,38.7,-75.16
DCO_TCO--BE326FW120711BH2,-28.24,26.8
DCO_TCO--BE326FW250111BH2,-28.24,26.8
DCO_TCO--BE326FW270712BH2,-28.24,26.8
DCO_TCO--DR5IPCFW280711,-26.42,27.5
DCO_TCO--FI88FW031012,-28.38,23.45
DCO_TCO--MM51940FW200712,-27.98,26.88
DCO_TCO--NO14FW130912,-24.83,27.34
DCO_WAL--BS_1A,58.70444,-178.56417
DCO_WAL--BS_2A,58.70444,-178.56417
DCO_WAL--BS_3A,58.70444,-178.56417
DCO_WAL--BS_4A,58.70444,-178.56417
DCO_WAL--BS_5A,58.70444,-178.56417
DCO_WAL--BS_6A,58.70444,-178.56417
DCO_WAL--BS_7A,58.70444,-178.56417
DCO_WAL--BS_8A,58.70444,-178.56417
DCO_WAL--Bering_1,58.70444,-178.56417
DCO_WAL--Bering_2,58.70444,-178.56417
DCO_WAL--Bering_3,58.70444,-178.56417
DCO_WAL--Bering_4,58.70444,-178.56417
DCO_WAL--Bering_5,58.70444,-178.56417
DCO_WAL--Bering_6,58.70444,-178.56417
DCO_WAL--Bering_7,58.70444,-178.56417
DCO_WAL--Bering_8,58.70444,-178.56417
